"id","wifi","workspace","quiet","all_three","wifi_workspace_only","wifi_only","neighbourhood_cleansed","neighbourhood_group_cleansed","price"
36703,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"West Village","Manhattan",200
36934,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Williamsburg","Brooklyn",150
38663,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Boerum Hill","Brooklyn",900
38833,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Harlem","Manhattan",99
39282,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Williamsburg","Brooklyn",150
39572,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Hell's Kitchen","Manhattan",139
39593,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Sunnyside","Queens",78
39704,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Bedford-Stuyvesant","Brooklyn",135
42300,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Lower East Side","Manhattan",750
42729,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Carroll Gardens","Brooklyn",202
42882,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"St. George","Staten Island",70
43105,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Midtown","Manhattan",185
44229,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Fort Greene","Brooklyn",110
44973,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Williamsburg","Brooklyn",107
45542,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Harlem","Manhattan",100
45556,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Fort Greene","Brooklyn",65
45737,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"West Village","Manhattan",64
45910,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Ridgewood","Queens",425
45935,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Mott Haven","Bronx",60
45936,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Morningside Heights","Manhattan",75
46911,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Prospect Heights","Brooklyn",120
